,カウント　,X,Y,Z,ノルム,閾値1.5,連続消す,ジャーク,J閾値0.4,J閾値0.6,,,,,
1.5454E+12,104,-1.052,-0.196,-0.012,1.145264,0,0,0.279424,0,0,0,,,,
1.5454E+12,105,-1.032,-0.284,-0.016,1.145936,0,0,0.000672,0,0,0,,,,
1.5454E+12,106,-1.032,-0.284,-0.016,1.145936,0,0,0,0,0,0,,,,
1.5454E+12,107,-1.008,-0.264,-0.056,1.088896,0,0,-0.05704,0,0,0,,,,
1.5454E+12,108,-0.888,-0.256,-0.08,0.86048,0,0,-0.228416,0,0,0,,,,
1.5454E+12,109,-0.912,-0.272,-0.168,0.933952,0,0,0.073472,0,0,0,,,,
1.5454E+12,110,-0.912,-0.272,-0.168,0.933952,0,0,0,0,0,0,,,,
1.5454E+12,111,-0.864,-0.324,-0.36,0.981072,0,0,0.04712,0,0,0,,,,
1.5454E+12,112,-0.864,-0.324,-0.36,0.981072,0,0,0,0,0,0,,,,
1.5454E+12,113,-1.112,-0.16,-0.136,1.28064,0,0,0.299568,0,0,0,,,,
1.5454E+12,114,-0.928,-0.564,0.008,1.179344,0,0,-0.101296,0,0,0,,,,
1.5454E+12,115,-0.872,-0.12,-0.004,0.7748,0,0,-0.404544,0,0,0,,,,
1.5454E+12,116,-0.964,-0.196,-0.116,0.981168,0,0,0.206368,0,0,0,,,,
1.5454E+12,117,-0.924,-0.076,-0.136,0.878048,0,0,-0.10312,0,0,0,,,,
1.5454E+12,118,-0.924,-0.076,-0.136,0.878048,0,0,0,0,0,0,,,,
1.5454E+12,119,-1.012,-0.092,-0.168,1.060832,0,0,0.182784,0,0,0,,,,
1.5454E+12,120,-1.24,-0.144,-0.256,1.623872,1,1,0.56304,1,0,0,,,,
1.5454E+12,121,-0.972,-0.348,0.308,1.160752,0,0,-0.46312,0,0,0,,,,
1.5454E+12,122,-1.14,-0.012,0.052,1.302448,0,0,0.141696,0,0,0,,,,
1.5454E+12,123,-1.012,-0.064,-0.088,1.035984,0,0,-0.266464,0,0,0,,,,
1.5454E+12,124,-1.012,-0.064,-0.088,1.035984,0,0,0,0,0,0,,,,
1.5454E+12,125,-0.996,-0.192,-0.084,1.035936,0,0,-4.8E-05,0,0,0,,,,
1.5454E+12,126,-0.944,-0.12,-0.052,0.90824,0,0,-0.127696,0,0,0,,,,
1.5454E+12,127,-0.84,-0.244,0.008,0.7652,0,0,-0.14304,0,0,0,,,,
1.5454E+12,128,-1.288,-0.28,0.476,1.96392,1,1,1.19872,1,1,0,,,,
1.5454E+12,129,-1.116,0.22,0.104,1.304672,0,0,-0.659248,0,0,0,,,,
1.5454E+12,130,-1.116,0.22,0.104,1.304672,0,0,0,0,0,0,,,,
1.5454E+12,131,-0.896,0.048,0.012,0.805264,0,0,-0.499408,0,0,0,,,,
1.5454E+12,132,-0.992,0.116,0.16,1.02312,0,0,0.217856,0,0,0,,,,
1.5454E+12,133,-0.916,0.004,-0.072,0.844256,0,0,-0.178864,0,0,0,,,,
1.5454E+12,134,-0.992,0.056,0.064,0.991296,0,0,0.14704,0,0,0,,,,
1.5454E+12,135,-1.012,0.036,-0.08,1.03184,0,0,0.040544,0,0,0,,,,
1.5454E+12,136,-1.012,0.036,-0.08,1.03184,0,0,0,0,0,0,,,,
1.5454E+12,137,-0.992,0.016,-0.076,0.990096,0,0,-0.041744,0,0,0,,,,
1.5454E+12,138,-1.028,-0.112,-0.04,1.070928,0,0,0.080832,0,0,0,,,,
1.5454E+12,139,-1.044,-0.14,-0.072,1.11472,0,0,0.043792,0,0,0,,,,
1.5454E+12,140,-1.112,-0.032,-0.048,1.239872,0,0,0.125152,0,0,0,,,,
1.5454E+12,141,-1.112,-0.032,-0.048,1.239872,0,0,0,0,0,0,,,,
